"filename", "language", "CSS", "HTML", "XML", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/azure/azure.css", "CSS", 641, 0, 0, 0, 8, 649
"/home/amitjosemundackal-vonnue/codes/azure/azure.html", "HTML", 0, 524, 0, 3, 14, 541
"/home/amitjosemundackal-vonnue/codes/azure/images/arrow.svg", "XML", 0, 0, 1, 0, 0, 1
"/home/amitjosemundackal-vonnue/codes/azure/images/azure-arc.svg", "XML", 0, 0, 32, 0, 1, 33
"/home/amitjosemundackal-vonnue/codes/azure/images/azure-devops.svg", "XML", 0, 0, 1, 0, 0, 1
"/home/amitjosemundackal-vonnue/codes/azure/images/azure-sql-database.svg", "XML", 0, 0, 1, 0, 1, 2
"/home/amitjosemundackal-vonnue/codes/azure/images/book-alt.svg", "XML", 0, 0, 4, 0, 1, 5
"/home/amitjosemundackal-vonnue/codes/azure/images/bosch-logo.svg", "XML", 0, 0, 9, 0, 1, 10
"/home/amitjosemundackal-vonnue/codes/azure/images/container-apps.svg", "XML", 0, 0, 22, 0, 1, 23
"/home/amitjosemundackal-vonnue/codes/azure/images/ge-logo.svg", "XML", 0, 0, 11, 0, 1, 12
"/home/amitjosemundackal-vonnue/codes/azure/images/github-icon.svg", "XML", 0, 0, 3, 0, 1, 4
"/home/amitjosemundackal-vonnue/codes/azure/images/icon-chat.svg", "XML", 0, 0, 1, 0, 0, 1
"/home/amitjosemundackal-vonnue/codes/azure/images/kubernetes-service.svg", "XML", 0, 0, 46, 0, 2, 48
"/home/amitjosemundackal-vonnue/codes/azure/images/nba-logo.svg", "XML", 0, 0, 8, 0, 1, 9
"/home/amitjosemundackal-vonnue/codes/azure/images/pepsico-logo.svg", "XML", 0, 0, 14, 0, 1, 15
"/home/amitjosemundackal-vonnue/codes/azure/images/pricing06.svg", "XML", 0, 0, 7, 0, 1, 8
"Total", "-", 641, 524, 160, 3, 34, 1362
